# roles — funcții și titluri din Biblie (Cornilescu / NTR); RU — sinodală
prooroc|пророк
roaba lui Sarai|рабыня Сарры
roaba lui Rahela|рабыня Рахили
roaba lui Lea|рабыня Лии
ucenicul lui Moise|ученик Моисея
ucenicul lui Ilie|ученик Илии
ucenicul lui Ioan|ученик Иоанна
ucenicul lui Pavel|ученик Павла
apostol Petru|апостол Пётр
apostol Pavel|апостол Павел
apostol Ioan|апостол Иоанн
apostol Iacov|апостол Иаков
apostol Andrei|апостол Андрей
apostol Filip|апостол Филипп
apostol Toma|апостол Фома
apostol Matei|апостол Матфей
vameș Matei|мытарь Матфей
vameș Zacheu|мытарь Закхей
fariseu Nicodim|фарисей Никодим
fariseu Gamaliel|фарисей Гамалиил
scrib Ezra|писец Ездра
scrib din Ierusalim|писец из Иерусалима
învățător din templu|учитель из храма
păstor din Betleem|пастух из Вифлеема
păstor din câmp|пастух с поля
pescar din Galileea|рыбак из Галилеи
meșter de corturi|мастер шатров
meșter de metale|мастер металлов
meșter Betaleel|мастер Веселеил
meșter Oholiab|мастер Аголиав
negustor din Damasc|купец из Дамаска
negustor din Tars|купец из Тарса
negustor de roabe|торговец рабынями
roabă egipteană|египетская рабыня
rob evreu|еврейский раб
stăpân de robi|хозяин рабов
stăpân de moșie|хозяин имения
moșier|землевладелец
arendaș|арендатор
văcăreș|скотовод
păzitor de stup|сторож улья
păzitor de livadă|сторож сада
păzitor de via|сторож виноградника
străjer de noapte|ночной страж
străjer de zi|дневной страж
soldat roman|римский воин
soldat iudeu|иудейский воин
soldat asirian|ассирийский воин
soldat babilonian|вавилонский воин
călăreț asirian|ассирийский всадник
călăreț egiptean|египетский всадник
căpetenie romană|римский начальник
căpetenie iudeană|иудейский начальник
centurion Corneliu|сотник Корнилий
centurion Longhin|сотник Лонгин
eunuc la curte|дворцовый евнух
eunuc regină|евнух царицы
paharnic faraonului|виночерпий фараона
bucătar faraonului|повар фараона
consilier la curte|советник при дворе
consilier faraon|советник фараона
înțelept din Est|мудрец с востока
mag din Răsărit|волхв с востока
înger|ангел
înger Domnului|ангел Господень
demon|бес
duh necurat|нечистый дух
satan|сатана
diavol|дьявол
slujitor diavolului|слуга дьявола
preot păgân|языческий жрец
preot idolesc|идолопоклоннический жрец
ghicitor|волхв
ghicitor egiptean|египетский волхв
vraci egiptean|египетский знахар
vraci babilonian|вавилонский знахар
doctor Luca|врач Лука
femeie cananeancă|хананеянка
femeie samariteancă|самарянка
femeie din Tir|жена из Тира
femeie din Sidon|жена из Сидона
văduvă din Nain|вдова из Наина
mama lui Isus|мать Иисуса
mama lui Ioan|мать Иоанна
tatăl lui Isus|отец Иисуса
Iosif din Nazaret|Иосиф из Назарета
Maria din Magdala|Мария Магдалина
Marta din Betania|Марфа из Вифании
Maria din Betania|Мария из Вифании
Lazar din Betania|Лазарь из Вифании
Simon leprosul|Симон прокажённый
Simon din Chirene|Симон Киринеянин
Iosif din Arimateea|Иосиф из Аримафеи
Nicodim din Ierusalim|Никодим из Иерусалима
Anania din Damasc|Анания из Дамаска
Saul din Tars|Савл из Тарса
Timotei din Listra|Тимофей из Листры
Titus credincios|Тит верующий
rob Onisim|Онисим раб
stăpân Filimon|Филимон хозяин
